,BUP_NI,BUPC_NI,MET_NI,METC_NI,REL_NI,ABS_NI,BUP_INJ,BUPC_INJ,MET_INJ,METC_INJ,REL_INJ,ABS_INJ
BUP_NI,0,0,0,0,0,0,0,0,0,0,0,0
BUPC_NI,0,0,0,0,0,0,0,0,0,0,0,0
MET_NI,0,0,0,0,0.761904762,0.238095238,0,0,0,0,0,0
METC_NI,0,0,0,0,0,0,0,0,0,0,0,0
REL_NI,0,0,0.727272727,0,0,0.272727273,0,0,0,0,0,0
ABS_NI,0,0,0.428571429,0,0.571428571,0,0,0,0,0,0,0
ODN_NI,0,0,0.654545455,0,0.1,0.245454545,0,0,0,0,0,0
BUP_INJ,0,0,0,0,0,0,0,0,0,0,0,0
BUPC_INJ,0,0,0,0,0,0,0,0,0,0,0,0
MET_INJ,0,0,0,0,0,0,0,0,0,0,0.761904762,0.238095238
METC_INJ,0,0,0,0,0,0,0,0,0,0,0,0
REL_INJ,0,0,0,0,0,0,0,0,0.727272727,0,0,0.272727273
ABS_INJ,0,0,0,0,0,0,0,0,0.428571429,0,0.571428571,0
ODN_INJ,0,0,0,0,0,0,0,0,0.654545455,0,0.1,0.245454545
